dataset,model,seed,method,reject_percent,rejection_rate,accuracy_before_rejection,accuracy_after_rejection,kept_count
tinyimagenet,efficientnetv2_s,,gradient,40,0.4,0.4052,0.36733333333333335,6000
tinyimagenet,efficientnetv2_s,,gradient,50,0.5,0.4052,0.3582,5000
tinyimagenet,efficientnetv2_s,,hybrid,10,0.1,0.4052,0.43944444444444447,9000
tinyimagenet,efficientnetv2_s,,hybrid,20,0.2,0.4052,0.476625,8000
tinyimagenet,efficientnetv2_s,,hybrid,30,0.3,0.4052,0.5118571428571429,7000
tinyimagenet,efficientnetv2_s,,hybrid,40,0.4,0.4052,0.5541666666666667,6000
tinyimagenet,efficientnetv2_s,,hybrid,50,0.5,0.4052,0.601,5000
tinyimagenet,mobilenetv3_small,,entropy,10,0.1,0.4014,0.43366666666666664,9000
tinyimagenet,mobilenetv3_small,,entropy,20,0.2,0.4014,0.469625,8000
tinyimagenet,mobilenetv3_small,,entropy,30,0.3,0.4014,0.5137142857142857,7000
tinyimagenet,mobilenetv3_small,,entropy,40,0.4,0.4014,0.5605,6000
tinyimagenet,mobilenetv3_small,,entropy,50,0.5,0.4014,0.6174,5000
tinyimagenet,mobilenetv3_small,,gradient,10,0.1,0.4014,0.38022222222222224,9000
tinyimagenet,mobilenetv3_small,,gradient,20,0.2,0.4014,0.363375,8000
tinyimagenet,mobilenetv3_small,,gradient,30,0.3,0.4014,0.34314285714285714,7000
tinyimagenet,mobilenetv3_small,,gradient,40,0.4,0.4014,0.3318333333333333,6000
tinyimagenet,mobilenetv3_small,,gradient,50,0.5,0.4014,0.3186,5000
tinyimagenet,mobilenetv3_small,,hybrid,10,0.1,0.4014,0.4291111111111111,9000
tinyimagenet,mobilenetv3_small,,hybrid,20,0.2,0.4014,0.462875,8000
tinyimagenet,mobilenetv3_small,,hybrid,30,0.3,0.4014,0.5001428571428571,7000
tinyimagenet,mobilenetv3_small,,hybrid,40,0.4,0.4014,0.5428333333333333,6000
tinyimagenet,mobilenetv3_small,,hybrid,50,0.5,0.4014,0.5888,5000
tinyimagenet,shufflenetv2_0_5,,entropy,10,0.1,0.3753,0.408,9000
tinyimagenet,shufflenetv2_0_5,,entropy,20,0.2,0.3753,0.4435,8000
tinyimagenet,shufflenetv2_0_5,,entropy,30,0.3,0.3753,0.48342857142857143,7000
tinyimagenet,shufflenetv2_0_5,,entropy,40,0.4,0.3753,0.5273333333333333,6000
tinyimagenet,shufflenetv2_0_5,,entropy,50,0.5,0.3753,0.5838,5000
tinyimagenet,shufflenetv2_0_5,,gradient,10,0.1,0.3753,0.365,9000
tinyimagenet,shufflenetv2_0_5,,gradient,20,0.2,0.3753,0.357,8000
tinyimagenet,shufflenetv2_0_5,,gradient,30,0.3,0.3753,0.3497142857142857,7000
tinyimagenet,shufflenetv2_0_5,,gradient,40,0.4,0.3753,0.3403333333333333,6000
tinyimagenet,shufflenetv2_0_5,,gradient,50,0.5,0.3753,0.3262,5000
tinyimagenet,shufflenetv2_0_5,,hybrid,10,0.1,0.3753,0.403,9000
tinyimagenet,shufflenetv2_0_5,,hybrid,20,0.2,0.3753,0.432375,8000
tinyimagenet,shufflenetv2_0_5,,hybrid,30,0.3,0.3753,0.468,7000
tinyimagenet,shufflenetv2_0_5,,hybrid,40,0.4,0.3753,0.5091666666666667,6000
tinyimagenet,shufflenetv2_0_5,,hybrid,50,0.5,0.3753,0.5574,5000
tissuemnist,efficientnetv2_s,,entropy,10,0.1,0.6243866328257192,0.6577834179357022,42552
tissuemnist,efficientnetv2_s,,entropy,20,0.2,0.6243866328257192,0.6900909475465313,37824
tissuemnist,efficientnetv2_s,,entropy,30,0.3,0.6243866328257192,0.7210236886632826,33096
tissuemnist,efficientnetv2_s,,entropy,40,0.4,0.6243866328257192,0.7538071065989848,28368
tissuemnist,efficientnetv2_s,,entropy,50,0.5,0.6243866328257192,0.7885363790186125,23640
tissuemnist,efficientnetv2_s,,gradient,10,0.1,0.6243866328257192,0.6393354013912389,42552
tissuemnist,efficientnetv2_s,,gradient,20,0.2,0.6243866328257192,0.6544786379018612,37824
tissuemnist,efficientnetv2_s,,gradient,30,0.3,0.6243866328257192,0.6708363548465072,33096
tissuemnist,efficientnetv2_s,,gradient,40,0.4,0.6243866328257192,0.6893683023124647,28368
tissuemnist,efficientnetv2_s,,gradient,50,0.5,0.6243866328257192,0.7104483925549916,23640
tissuemnist,efficientnetv2_s,,hybrid,10,0.1,0.6243866328257192,0.6570078962210942,42552
tissuemnist,efficientnetv2_s,,hybrid,20,0.2,0.6243866328257192,0.6894828680203046,37824
tissuemnist,efficientnetv2_s,,hybrid,30,0.3,0.6243866328257192,0.7230178873579889,33096
tissuemnist,efficientnetv2_s,,hybrid,40,0.4,0.6243866328257192,0.755922165820643,28368
tissuemnist,efficientnetv2_s,,hybrid,50,0.5,0.6243866328257192,0.7923857868020304,23640
tissuemnist,mobilenetv3_small,,entropy,10,0.1,0.6493866328257191,0.6842686595224666,42552
tissuemnist,mobilenetv3_small,,entropy,20,0.2,0.6493866328257191,0.7162648054145516,37824
tissuemnist,mobilenetv3_small,,entropy,30,0.3,0.6493866328257191,0.7512992506647329,33096
tissuemnist,mobilenetv3_small,,entropy,40,0.4,0.6493866328257191,0.7853919909757473,28368
