dataset,model,seed,method,reject_percent,rejection_rate,accuracy_before_rejection,accuracy_after_rejection,kept_count
cifar100-c,mobilenetv3_small,42,entropy,50,0.5,0.32236315789473685,0.48406315789473686,95000
cifar100-c,mobilenetv3_small,42,gradient,10,0.1,0.32236315789473685,0.32153216374269006,171000
cifar100-c,mobilenetv3_small,42,gradient,20,0.2,0.32236315789473685,0.32411842105263156,152000
cifar100-c,mobilenetv3_small,42,gradient,30,0.3,0.32236315789473685,0.32785714285714285,133000
cifar100-c,mobilenetv3_small,42,gradient,40,0.4,0.32236315789473685,0.33378070175438596,114000
cifar100-c,mobilenetv3_small,42,gradient,50,0.5,0.32236315789473685,0.34266315789473684,95000
cifar100-c,mobilenetv3_small,42,hybrid,10,0.1,0.32236315789473685,0.34156140350877195,171000
cifar100-c,mobilenetv3_small,42,hybrid,20,0.2,0.32236315789473685,0.36501973684210526,152000
cifar100-c,mobilenetv3_small,42,hybrid,30,0.3,0.32236315789473685,0.3932706766917293,133000
cifar100-c,mobilenetv3_small,42,hybrid,40,0.4,0.32236315789473685,0.42733333333333334,114000
cifar100-c,mobilenetv3_small,42,hybrid,50,0.5,0.32236315789473685,0.4680526315789474,95000
cifar100-c,shufflenetv2_0_5,42,entropy,10,0.1,0.29812105263157895,0.3211578947368421,171000
cifar100-c,shufflenetv2_0_5,42,entropy,20,0.2,0.29812105263157895,0.34654605263157895,152000
cifar100-c,shufflenetv2_0_5,42,entropy,30,0.3,0.29812105263157895,0.3741654135338346,133000
cifar100-c,shufflenetv2_0_5,42,entropy,40,0.4,0.29812105263157895,0.40592105263157896,114000
cifar100-c,shufflenetv2_0_5,42,entropy,50,0.5,0.29812105263157895,0.4453578947368421,95000
cifar100-c,shufflenetv2_0_5,42,gradient,10,0.1,0.29812105263157895,0.30771929824561406,171000
cifar100-c,shufflenetv2_0_5,42,gradient,20,0.2,0.29812105263157895,0.3160921052631579,152000
cifar100-c,shufflenetv2_0_5,42,gradient,30,0.3,0.29812105263157895,0.3247443609022556,133000
cifar100-c,shufflenetv2_0_5,42,gradient,40,0.4,0.29812105263157895,0.33421052631578946,114000
cifar100-c,shufflenetv2_0_5,42,gradient,50,0.5,0.29812105263157895,0.3460105263157895,95000
cifar100-c,shufflenetv2_0_5,42,hybrid,10,0.1,0.29812105263157895,0.31771345029239767,171000
cifar100-c,shufflenetv2_0_5,42,hybrid,20,0.2,0.29812105263157895,0.3401315789473684,152000
cifar100-c,shufflenetv2_0_5,42,hybrid,30,0.3,0.29812105263157895,0.36738345864661653,133000
cifar100-c,shufflenetv2_0_5,42,hybrid,40,0.4,0.29812105263157895,0.3991578947368421,114000
cifar100-c,shufflenetv2_0_5,42,hybrid,50,0.5,0.29812105263157895,0.43813684210526316,95000
tinyimagenet,efficientnetv2_s,42,entropy,10,0.1,0.2758,0.298,9000
tinyimagenet,efficientnetv2_s,42,entropy,20,0.2,0.2758,0.321625,8000
tinyimagenet,efficientnetv2_s,42,entropy,30,0.3,0.2758,0.34985714285714287,7000
tinyimagenet,efficientnetv2_s,42,entropy,40,0.4,0.2758,0.382,6000
tinyimagenet,efficientnetv2_s,42,entropy,50,0.5,0.2758,0.4196,5000
tinyimagenet,efficientnetv2_s,42,gradient,10,0.1,0.2758,0.28055555555555556,9000
tinyimagenet,efficientnetv2_s,42,gradient,20,0.2,0.2758,0.2915,8000
tinyimagenet,efficientnetv2_s,42,gradient,30,0.3,0.2758,0.30328571428571427,7000
tinyimagenet,efficientnetv2_s,42,gradient,40,0.4,0.2758,0.31916666666666665,6000
tinyimagenet,efficientnetv2_s,42,gradient,50,0.5,0.2758,0.342,5000
tinyimagenet,efficientnetv2_s,42,hybrid,10,0.1,0.2758,0.2912222222222222,9000
tinyimagenet,efficientnetv2_s,42,hybrid,20,0.2,0.2758,0.312375,8000
tinyimagenet,efficientnetv2_s,42,hybrid,30,0.3,0.2758,0.3375714285714286,7000
tinyimagenet,efficientnetv2_s,42,hybrid,40,0.4,0.2758,0.3705,6000
tinyimagenet,efficientnetv2_s,42,hybrid,50,0.5,0.2758,0.4068,5000
tinyimagenet,mobilenetv3_small,42,entropy,10,0.1,0.3651,0.3933333333333333,9000
tinyimagenet,mobilenetv3_small,42,entropy,20,0.2,0.3651,0.423375,8000
tinyimagenet,mobilenetv3_small,42,entropy,30,0.3,0.3651,0.45914285714285713,7000
tinyimagenet,mobilenetv3_small,42,entropy,40,0.4,0.3651,0.49666666666666665,6000
tinyimagenet,mobilenetv3_small,42,entropy,50,0.5,0.3651,0.5414,5000
tinyimagenet,mobilenetv3_small,42,gradient,10,0.1,0.3651,0.35133333333333333,9000
tinyimagenet,mobilenetv3_small,42,gradient,20,0.2,0.3651,0.34875,8000
tinyimagenet,mobilenetv3_small,42,gradient,30,0.3,0.3651,0.3467142857142857,7000
